district,industry_code,industry_name,classification_level,core_office,core_plus_full_row,broad_office,district_industry_employment,official_city_industry_employment,district_share_of_city_industry_percentage,reference_date,employment_universe,source_table,source_url
杨浦区,72,商务服务业,division,False,False,True,55036,1904322,2.890057458770103,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
闵行区,72,商务服务业,division,False,False,True,185963,1904322,9.765312798990927,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
宝山区,72,商务服务业,division,False,False,True,166347,1904322,8.735234902500732,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
嘉定区,72,商务服务业,division,False,False,True,95276,1904322,5.003145476447786,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
浦东新区,72,商务服务业,division,False,False,True,363367,1904322,19.08117429720394,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
金山区,72,商务服务业,division,False,False,True,31730,1904322,1.6662098111558863,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
松江区,72,商务服务业,division,False,False,True,68145,1904322,3.5784389404733026,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
青浦区,72,商务服务业,division,False,False,True,44055,1904322,2.3134217847611906,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
奉贤区,72,商务服务业,division,False,False,True,54954,1904322,2.88575146430068,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
崇明区,72,商务服务业,division,False,False,True,19072,1904322,1.001511299034512,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,1-9  按行业(大类)、地区分组的法人单位从业人员数,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-09.xls
