accounting_control,district,control_name,control_type,control_employment,control_area_m2,jrc_nres_volume_m3,poi_business_finance,poi_industry_logistics,poi_education_research,poi_retail_hospitality,poi_health_public,poi_other_economic,area_cell_equivalents,centroid_x,centroid_y,log1p_jrc_nres_volume_total,log1p_poi_business_finance_total,log1p_poi_industry_logistics_total,log1p_poi_education_research_total,log1p_poi_retail_hospitality_total,log1p_poi_health_public_total,log1p_poi_other_economic_total,spatial_holdout_fold,geographic_holdout_prediction,full_fit_prediction
310104010000,徐汇区,长桥街道,street,20700,5915236.549131928,794025.745460945,0.0,0.0,5.03047283411026,9.57396887588501,0.8224015831947327,0.5835834741592407,591.5236549131928,351346.3767050304,3446395.8076106315,13.584872424121592,0.0,0.0,1.7968254212818655,2.3583952143518627,0.6001551824520257,0.45969030057985333,1,27163.712748635768,27317.88453878191
310104011000,徐汇区,田林街道,street,75600,4113625.735338441,5421671.241828164,6.2454702043533326,2.4601238071918488,4.713536392450333,64.59474947452546,3.0169296860694885,3.091615915298462,411.3625735338441,349380.55481254635,3450701.420200393,15.505914857532325,1.9803764741985583,1.241304370854847,1.742838165138968,4.183495654248705,1.3905178511337024,1.4089399813425054,2,58759.002985880405,94834.52274267026
310104012000,徐汇区,虹梅路街道,street,262100,4478712.541732591,8318059.514319371,11.343836288452149,2.9679646253585816,3.884765326976776,48.886100054597854,6.186083706617355,6.844924893379211,447.87125417325905,347537.5144145403,3449807.161886372,15.933939674363048,2.5131568525338452,1.3782532744026916,1.5861212448273574,3.9097424079334555,1.9721463371925554,2.0598668123187984,2,58626.44154238732,108998.73554149926
310104013000,徐汇区,康健新村街道,street,15900,4035231.0960489614,36681.9489804089,1.8843849194049835,1.6547226309776306,6.087463543415069,24.557163650512695,0.76389080286026,1.4813225865364075,403.52310960489615,348549.9390780844,3448217.423975205,10.510067320641664,1.059311677716812,0.9763401787949151,1.9583275252544075,3.240917655062097,0.567522052528079,0.9087917190451839,0,24853.150583567895,23238.54782303459
310104014000,徐汇区,徐家汇街道,street,216300,4072945.8706872175,3529138.382576602,28.07668244242668,4.429223334789276,21.53820191860199,291.8343415504396,6.588116326332092,15.82259297311306,407.29458706872174,350508.0603293981,3451973.7194529814,15.076564598215391,3.3699365623342477,1.6917960914485854,3.115211732519309,5.67960706192559,2.026583382257328,2.82272280277709,2,88033.6429899584,179491.04190424984
310104015000,徐汇区,凌云路街道,street,12200,3552821.9592782618,815367.3340295361,0.0,0.0,2.2097347378730774,19.35939938688278,0.6632992625236511,0.0,355.2821959278262,349311.6601036349,3446177.26632195,13.611395233721776,0.0,0.0,1.166188297550756,3.0135426915852523,0.508803137432814,0.0,0,30409.533191245988,30811.885792892794
310104016000,徐汇区,龙华街道,street,59600,6188826.151512329,2966930.7114873165,2.562462468147278,1.9297247529029846,3.834827024936676,22.4140966912508,0.0,6.748197675943374,618.8826151512328,352485.6746808967,3449135.3692637617,14.903038882994375,1.2704520102823682,1.0749084776275024,1.5758453526575757,3.1533382636829677,0.0,2.0474602583766734,1,62084.089764061646,56248.21187919566
310104017000,徐汇区,漕河泾街道,street,88600,5231280.40539057,4584629.320006829,3.5333969485759735,0.0,1.288000226020813,53.397682933068275,5.109886627197266,4.306813478469849,523.128040539057,350600.42146879766,3448749.4361582305,15.338220032288346,1.51147153674955,0.0,0.827678172302867,3.996321559812656,1.8099082177244894,1.668991556906244,0,74059.17448973173,75430.4644334895
310104103000,徐汇区,华泾镇,town,10300,7291698.395586322,1580968.8889843577,0.0,0.29737189412117004,2.543790730834007,7.204000000000001,0.0,1.7479812502861023,729.1698395586322,352193.405482637,3444004.756799949,14.27354907045955,0.0,0.26034059832890794,1.2651969821376456,2.104621840210134,0.0,1.010866551296834,1,28053.091938270285,33296.72386478646
310105001000,长宁区,华阳路街道,street,48926,2044032.8251104786,462400.2858801496,14.244581226110459,3.5671030282974243,6.63506707906723,144.9585158855915,3.3520696353912354,10.909134278893472,204.40328251104785,349203.8620741088,3455122.5971382614,13.044188377219115,2.7242241104735787,1.518879093242783,2.032751724364448,4.9833224435636305,1.4706515102048665,2.4773056921352965,3,59934.535544798884,62813.566114316185
310105002000,长宁区,江苏路街道,street,37808,1510585.4368758525,365186.3060240115,5.208464241027832,0.77,4.622500677108764,79.63158292791843,3.0749948620796204,3.101141929626465,151.05854368758526,350165.91657566244,3455052.7239070972,12.808165668128447,1.8259135611783517,0.5709795465857378,1.7267765252797416,4.38989042050123,1.4048694858526742,1.4112654543520176,3,36389.226492811795,42012.69942559795
310105004000,长宁区,新华路街道,street,52426,2195598.7091140486,886086.5423271615,8.746381335258484,1.5161043405532837,2.307709276676178,117.23486354839802,2.7942946207523347,13.890103635787964,219.55987091140486,349729.7183219125,3453598.456517068,13.694571030944534,2.2768960710166724,0.9227118087864453,1.1962558883767807,4.7726730153598105,1.333498522887,2.7006968067649106,1,66783.80415253859,59004.34054273976
310105005000,长宁区,周家桥街道,street,25426,1977056.230916368,609127.7336284176,8.2825031208992,2.2052511763572693,1.1940826177597046,43.280620645761495,2.885895252227783,2.931464512348175,197.7056230916368,347503.8020899562,3454969.828952319,13.319784909621653,2.22813124328226,1.1647904574601273,0.7857640173699971,3.7905471241324853,1.3573533954266872,1.3690120059170694,2,41385.177722900095,42603.323442620065
