district,accounting_stratum_id,official_control_name_2023,control_type,employment_published,employment_reconciled,rounding_lower,rounding_upper,publication_unit,row_is_official_fine_control,fine_table_status,source_url,source_table,boundary_support,osm_match_name,geometry_is_approximate
松江区,outer-松江区-10,新桥镇,town,91342.0,91342,91342,91342,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,新桥镇,True
松江区,outer-松江区-11,洞泾镇,town,39075.0,39075,39075,39075,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,洞泾镇,True
松江区,outer-松江区-12,九亭镇,town,84087.0,84087,84087,84087,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,九亭镇,True
松江区,outer-松江区-13,泖港镇,town,17633.0,17633,17633,17633,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,泖港镇,True
松江区,outer-松江区-14,石湖荡镇,town,31171.0,31171,31171,31171,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,石湖荡镇,True
松江区,outer-松江区-15,新浜镇,town,12597.0,12597,12597,12597,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,新浜镇,True
松江区,outer-松江区-16,叶榭镇,town,21982.0,21982,21982,21982,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,叶榭镇,True
松江区,outer-松江区-17,小昆山镇,town,29215.0,29215,29215,29215,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,小昆山镇,True
松江区,outer-松江区-18,松江经济技术开发区,functional_zone,148013.0,148013,148013,148013,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,district_overlay,,True
青浦区,outer-青浦区-01,赵巷镇,town,24884.0,24884,24884,24884,people,True,official exact count,https://www.shqp.gov.cn/stat/stat/upload/202511/1112_120139_477.pdf,geographic employment table,osm_relation,赵巷镇,True
青浦区,outer-青浦区-02,徐泾镇,town,92417.0,92417,92417,92417,people,True,official exact count,https://www.shqp.gov.cn/stat/stat/upload/202511/1112_120139_477.pdf,geographic employment table,osm_relation,徐泾镇,True
青浦区,outer-青浦区-03,华新镇,town,76670.0,76670,76670,76670,people,True,official exact count,https://www.shqp.gov.cn/stat/stat/upload/202511/1112_120139_477.pdf,geographic employment table,osm_relation,华新镇,True
青浦区,outer-青浦区-04,重固镇,town,22117.0,22117,22117,22117,people,True,official exact count,https://www.shqp.gov.cn/stat/stat/upload/202511/1112_120139_477.pdf,geographic employment table,osm_relation,重固镇,True
青浦区,outer-青浦区-05,白鹤镇,town,19514.0,19514,19514,19514,people,True,official exact count,https://www.shqp.gov.cn/stat/stat/upload/202511/1112_120139_477.pdf,geographic employment table,osm_relation,白鹤镇,True
青浦区,outer-青浦区-06,朱家角镇,town,34734.0,34734,34734,34734,people,True,official exact count,https://www.shqp.gov.cn/stat/stat/upload/202511/1112_120139_477.pdf,geographic employment table,osm_relation,朱家角镇,True
青浦区,outer-青浦区-07,练塘镇,town,21255.0,21255,21255,21255,people,True,official exact count,https://www.shqp.gov.cn/stat/stat/upload/202511/1112_120139_477.pdf,geographic employment table,osm_relation,练塘镇,True
青浦区,outer-青浦区-08,金泽镇,town,28099.0,28099,28099,28099,people,True,official exact count,https://www.shqp.gov.cn/stat/stat/upload/202511/1112_120139_477.pdf,geographic employment table,osm_relation,金泽镇,True
青浦区,outer-青浦区-09,夏阳街道,street,46519.0,46519,46519,46519,people,True,official exact count,https://www.shqp.gov.cn/stat/stat/upload/202511/1112_120139_477.pdf,geographic employment table,osm_relation,夏阳街道,True
青浦区,outer-青浦区-10,盈浦街道,street,27515.0,27515,27515,27515,people,True,official exact count,https://www.shqp.gov.cn/stat/stat/upload/202511/1112_120139_477.pdf,geographic employment table,osm_relation,盈浦街道,True
青浦区,outer-青浦区-11,香花桥街道,street,151474.0,151474,151474,151474,people,True,official exact count,https://www.shqp.gov.cn/stat/stat/upload/202511/1112_120139_477.pdf,geographic employment table,osm_relation,香花桥街道,True
奉贤区,outer-奉贤区-01,南桥镇,town,108793.0,108793,108793,108793,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,osm_relation,南桥镇,True
奉贤区,outer-奉贤区-02,奉城镇,town,47863.0,47863,47863,47863,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,osm_relation,奉城镇,True
奉贤区,outer-奉贤区-03,庄行镇,town,33026.0,33026,33026,33026,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,osm_relation,庄行镇,True
奉贤区,outer-奉贤区-04,金汇镇,town,54973.0,54973,54973,54973,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,osm_relation,金汇镇,True
奉贤区,outer-奉贤区-05,四团镇,town,32678.0,32678,32678,32678,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,osm_relation,四团镇,True
奉贤区,outer-奉贤区-06,青村镇,town,48451.0,48451,48451,48451,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,osm_relation,青村镇,True
奉贤区,outer-奉贤区-07,柘林镇,town,28160.0,28160,28160,28160,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,osm_relation,柘林镇,True
奉贤区,outer-奉贤区-08,海湾镇,town,8812.0,8812,8812,8812,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,osm_relation,海湾镇,True
奉贤区,outer-奉贤区-09,西渡街道,street,27641.0,27641,27641,27641,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,osm_relation,西渡街道,True
奉贤区,outer-奉贤区-10,头桥街道,street,9039.0,9039,9039,9039,people,True,official exact count,https://www.fengxian.gov.cn/tzgg/20250801/93379.html,geographic employment table,district_overlay,,True
