station,lon,lat
三鲁公路,121.527389,31.056108
上大路,121.4038689,31.3169815
上海动物园,121.3634133,31.1920985
上海国际旅游度假区,121.6759116,31.1585237
上海大学,121.3839347,31.3223633
上海松江站,121.2263732,30.9869127
上海汽车城,121.1762633,31.2873157
上海赛车场,121.2216614,31.3338783
东兰路,121.3871482,31.1577076
东城一路,121.532093,31.03039
东川路,121.415259,31.0201818
东方绿舟,121.0148951,31.1005043
中春路,121.33148209999999,31.1516284
丰庄,121.3507104,31.2442808
丰翔路,121.3763776,31.3103095
临洮路,121.3263327,31.2650033
临港大道,121.9065641,30.925954
乐秀路,121.3092454,31.2672762
九亭,121.3151566,31.139455
书院,121.846355,30.9615776
佘山,121.2253618,31.1062374
元江路,121.427266,31.0647763
兆丰路,121.150315,31.289048
光明路,121.117186,31.29621
共富新村,121.4294324,31.3569381
刘行,121.3577657,31.3597292
剑川路,121.4119412,31.0284269
北桥,121.4054132,31.0470272
华东理工大学,121.4241171,31.1461157
华宁路,121.3905802,31.0094092
南大路,121.3755576,31.3004988
南翔,121.3185965,31.2988523
南陈路,121.3936629,31.3235583
友谊西路,121.4233186,31.3829417
友谊路,121.4713824,31.4059296
双柏路,121.4171111,31.0851992
双江路,121.5351579,31.355695
古浪路,121.3874843,31.28484495
向城路,121.5277708,31.2246257
呼兰路,121.4318178,31.341449150000003
嘉定北,121.2330115,31.393568
嘉定新城,121.2498245,31.3320802
嘉定西,121.223391,31.3790494
嘉怡路,121.3407328,31.2612945
嘉松中路,121.21966425,31.1660251
国家会展中心,121.2909119,31.1932726
国帆路,121.5087823,31.3416315
场中路,121.4086121,31.3056307
基隆路,121.5861815,31.3535319
外环路,121.3883624,31.1228126
外高桥保税区北,121.5826967,31.3499474
大场镇,121.4115867,31.2951955
奉浦大道,121.4444599,30.9441318
奉贤新城,121.4915344,30.9163132
安亭,121.1575136,31.2903851
定边路,121.3577078,31.2582645
宝安公路,121.426259,31.3714055
宝杨路,121.4750613,31.397224
富锦路,121.4199194,31.3941146
封浜,121.2925591,31.269456
康恒路,121.5492931,31.1564411
康文路,121.4144065,31.3372125
康桥东,121.611222,31.149121
张华浜,121.4942142,31.3600102
徐泾北城,121.2373249,31.1774592
徐盈路,121.2498298,31.180115
文井路,121.3761175,31.0055537
新江湾城,121.5023484,31.3307804
昌吉东路,121.1958929,31.2955477
星中路,121.3640688,31.1599995
春申路,121.381151,31.1001363
景洪路,121.43810795,31.1127594
景西路,121.413989,31.101516
曙建路,121.4130342,31.0926964
望园路,121.47853315,30.935452599999998
朱家角,121.0444783,31.1024894
朱梅路,121.4333425,31.1262981
李子园,121.3852558,31.2707095
松江体育中心,121.2262371,31.0179937
松江大学城,121.2281724,31.0561736
松江新城,121.2262586,31.0322111
桃浦新村,121.3450707,31.2834828
武威东路,121.387403,31.2771479
武威路,121.3600778,31.2783683
殷高西路,121.4804318,31.3219502
水产路,121.4836827,31.3832818
永德路,121.4385487,31.041227
汇臻路,121.524558,31.025245
汇金路,121.1474612,31.1631754
江川路,121.4187782,31.0074377
江杨北路,121.4352116,31.4096652
沈杜公路,121.5079105,31.0634917
泗泾,121.2558797,31.1204097
洞泾,121.2260333,31.0865443
浦航路,121.530591,31.040993
淀山湖大道,121.0774053,31.1361923
淞发路,121.4959577,31.3471701
淞滨路,121.4882612,31.3730074
港城路,121.5707186,31.3552417
滴水湖,121.9257641,30.9093062
漕盈路,121.0919563,31.162321
潘广路,121.3513174,31.3660078
爱辉路,121.4446366,31.34601
环城东路,121.4588819,30.9330926
